조사명,조사일,조사자,지점,위도,경도,고도(m),국명,학명,과,개체수,우점도,비고,기록시각
한림읍 금악리 소규모환경영향평가,2026-09-22,홍길동,St.1,33.40712,126.26985,312,소나무,Pinus densiflora,소나무과,12,4,,2026-09-22T00:11:30.000Z
한림읍 금악리 소규모환경영향평가,2026-09-22,홍길동,St.1,33.40712,126.26985,312,곰솔,Pinus thunbergii,소나무과,3,2,,2026-09-22T00:13:00.000Z
한림읍 금악리 소규모환경영향평가,2026-09-22,홍길동,St.1,33.40712,126.26985,312,억새,Miscanthus sinensis,벼과,40,3,,2026-09-22T00:14:30.000Z
한림읍 금악리 소규모환경영향평가,2026-09-22,홍길동,St.1,33.40712,126.26985,312,개망초,Erigeron annuus,국화과,8,+,,2026-09-22T00:16:00.000Z
한림읍 금악리 소규모환경영향평가,2026-09-22,홍길동,St.1,33.40712,126.26985,312,쑥,Artemisia indica,국화과,15,2,,2026-09-22T00:17:30.000Z
한림읍 금악리 소규모환경영향평가,2026-09-22,홍길동,St.2,33.41055,126.27431,287,신갈나무,Quercus mongolica,참나무과,9,3,,2026-09-22T00:19:00.000Z
한림읍 금악리 소규모환경영향평가,2026-09-22,홍길동,St.2,33.41055,126.27431,287,소나무,Pinus densiflora,소나무과,5,2,,2026-09-22T00:20:30.000Z
한림읍 금악리 소규모환경영향평가,2026-09-22,홍길동,St.2,33.41055,126.27431,287,고사리,Pteridium aquilinum,잔고사리과,22,2,,2026-09-22T00:22:00.000Z
한림읍 금악리 소규모환경영향평가,2026-09-22,홍길동,St.2,33.41055,126.27431,287,칡,Pueraria lobata,콩과,4,1,,2026-09-22T00:23:30.000Z
한림읍 금악리 소규모환경영향평가,2026-09-22,홍길동,St.3,33.41498,126.28002,401,신갈나무,Quercus mongolica,참나무과,14,4,,2026-09-22T00:25:00.000Z
한림읍 금악리 소규모환경영향평가,2026-09-22,홍길동,St.3,33.41498,126.28002,401,조릿대,Sasamorpha borealis,벼과,60,5,,2026-09-22T00:26:30.000Z
한림읍 금악리 소규모환경영향평가,2026-09-22,홍길동,St.3,33.41498,126.28002,401,비목나무,Lindera erythrocarpa,녹나무과,2,+,,2026-09-22T00:28:00.000Z
